Unknown IDS references in BCS & BS files
Number of hits: 411
File: NWGOBKIG.bcs, Line: 35, Error: 0 not found in SPELL.IDS
File: NWGOBLI0.bcs, Line: 21, Error: 0 not found in SPELL.IDS
File: NWGOBLI0.bcs, Line: 58, Error: 0 not found in SPELL.IDS
File: NWGOBLI0.bcs, Line: 80, Error: 0 not found in SPELL.IDS
File: NWGOBLI2.bcs, Line: 20, Error: 0 not found in SPELL.IDS
File: NWGOBLI2.bcs, Line: 57, Error: 0 not found in SPELL.IDS
File: NWGOBLI2.bcs, Line: 79, Error: 0 not found in SPELL.IDS
File: NWGOLEM.bcs, Line: 9, Error: 0 not found in SPELL.IDS
File: NWGOLEM.bcs, Line: 10, Error: 0 not found in SPELL.IDS
File: NWGOLEM.bcs, Line: 11, Error: 0 not found in SPELL.IDS
File: NWGOLEM.bcs, Line: 12, Error: 0 not found in SPELL.IDS
File: NWGOLEM.bcs, Line: 13, Error: 0 not found in SPELL.IDS
File: NWGOLEM.bcs, Line: 14, Error: 0 not found in SPELL.IDS
File: NWGULNAN.bcs, Line: 477, Error: 0 not found in SPELL.IDS
File: NWGUZUD.bcs, Line: 119, Error: 0 not found in SPELL.IDS
File: NWGUZUD.bcs, Line: 140, Error: 0 not found in SPELL.IDS
File: NWGUZUD.bcs, Line: 197, Error: 0 not found in SPELL.IDS
File: NWGUZUD.bcs, Line: 198, Error: 0 not found in SPELL.IDS
File: NWGUZUD.bcs, Line: 199, Error: 0 not found in SPELL.IDS
File: NWGUZUD.bcs, Line: 200, Error: 0 not found in SPELL.IDS
File: NWGUZUD.bcs, Line: 201, Error: 0 not found in SPELL.IDS
File: NWGUZUD.bcs, Line: 202, Error: 0 not found in SPELL.IDS
File: NWKAOHIN.bcs, Line: 9, Error: 0 not found in SPELL.IDS
File: NWKAOHIN.bcs, Line: 10, Error: 0 not found in SPELL.IDS
File: NWKAOHIN.bcs, Line: 11, Error: 0 not found in SPELL.IDS
File: NWKAOHIN.bcs, Line: 12, Error: 0 not found in SPELL.IDS
File: NWKAOHIN.bcs, Line: 13, Error: 0 not found in SPELL.IDS
File: NWKURDAN.bcs, Line: 105, Error: 0 not found in SPELL.IDS
File: NWKURDAN.bcs, Line: 125, Error: 0 not found in SPELL.IDS
File: NWKURDAN.bcs, Line: 182, Error: 0 not found in SPELL.IDS
File: NWKURDAN.bcs, Line: 183, Error: 0 not found in SPELL.IDS
File: NWKURDAN.bcs, Line: 184, Error: 0 not found in SPELL.IDS
File: NWKURDAN.bcs, Line: 185, Error: 0 not found in SPELL.IDS
File: NWKURDAN.bcs, Line: 186, Error: 0 not found in SPELL.IDS
File: NWKURDAN.bcs, Line: 187, Error: 0 not found in SPELL.IDS
File: NWKURT.bcs, Line: 39, Error: 0 not found in SPELL.IDS
File: NWLICH10.bcs, Line: 383, Error: 0 not found in SPELL.IDS
File: NWLIZRD.bcs, Line: 322, Error: 0 not found in SPELL.IDS
File: NWLIZRD.bcs, Line: 377, Error: 0 not found in SPELL.IDS
File: NWLIZRD.bcs, Line: 390, Error: 0 not found in SPELL.IDS
File: NWLIZRD.bcs, Line: 401, Error: 0 not found in SPELL.IDS
File: NWLIZRD.bcs, Line: 475, Error: 0 not found in SPELL.IDS
File: NWLIZRD.bcs, Line: 476, Error: 0 not found in SPELL.IDS
File: NWLIZRD.bcs, Line: 477, Error: 0 not found in SPELL.IDS
File: NWLIZRD.bcs, Line: 478, Error: 0 not found in SPELL.IDS
File: NWLIZRD.bcs, Line: 479, Error: 0 not found in SPELL.IDS
File: NWLIZRD.bcs, Line: 480, Error: 0 not found in SPELL.IDS
File: NWMAEGAL.bcs, Line: 10, Error: 0 not found in SPELL.IDS
File: NWMAEGAL.bcs, Line: 11, Error: 0 not found in SPELL.IDS
File: NWMAEGAL.bcs, Line: 12, Error: 0 not found in SPELL.IDS
File: NWMAEGAL.bcs, Line: 13, Error: 0 not found in SPELL.IDS
File: NWMAEGAL.bcs, Line: 14, Error: 0 not found in SPELL.IDS
File: NWMAEGAL.bcs, Line: 15, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 17, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 18, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 19, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 20, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 21, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 22, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 36, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 37, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 38, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 297, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 298, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 299, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 300, Error: 0 not found in SPELL.IDS
